text,doc_id,paper_title,year,section,prev_text,prev_section,next_text,next_section,label
This paper focuses on domain specific use of MT with a special focus on SMT in the workflow of a Language Service Provider (LSP).,1378144,Domain specific {MT} in use,2008,abstract,,,"We report on the feedback of post-editors using fluency/adequacy evaluation and the evaluation metric 'Usability', understood in this context as where users on a three point scale evaluate the sentence from the point of view of the post-editor.",abstract,
"We report on the feedback of post-editors using fluency/adequacy evaluation and the evaluation metric 'Usability', understood in this context as where users on a three point scale evaluate the sentence from the point of view of the post-editor.",1378145,Domain specific {MT} in use,2008,abstract,This paper focuses on domain specific use of MT with a special focus on SMT in the workflow of a Language Service Provider (LSP).,abstract,The post-editor profile defined by the LSP is based on the experiences of introducing MT in the LSP workflow.,abstract,
The post-editor profile defined by the LSP is based on the experiences of introducing MT in the LSP workflow.,1378146,Domain specific {MT} in use,2008,abstract,"We report on the feedback of post-editors using fluency/adequacy evaluation and the evaluation metric 'Usability', understood in this context as where users on a three point scale evaluate the sentence from the point of view of the post-editor.",abstract,The relation between the Translation Edit Rate (TER) scores and 'Usability' scores is tested.,abstract,
The relation between the Translation Edit Rate (TER) scores and 'Usability' scores is tested.,1378147,Domain specific {MT} in use,2008,abstract,The post-editor profile defined by the LSP is based on the experiences of introducing MT in the LSP workflow.,abstract,We find TER a candidate for an automatic metric simulating the post-editors' usability judgements.,abstract,
We find TER a candidate for an automatic metric simulating the post-editors' usability judgements.,1378148,Domain specific {MT} in use,2008,abstract,The relation between the Translation Edit Rate (TER) scores and 'Usability' scores is tested.,abstract,LSP tests show 67% saved time in post-editing for the tested domain.,abstract,
LSP tests show 67% saved time in post-editing for the tested domain.,1378149,Domain specific {MT} in use,2008,abstract,We find TER a candidate for an automatic metric simulating the post-editors' usability judgements.,abstract,"Finally, the use of weighted sub-domain phrase tables in a SMT system is shown to improve translation quality.",abstract,
"Finally, the use of weighted sub-domain phrase tables in a SMT system is shown to improve translation quality.",1378150,Domain specific {MT} in use,2008,abstract,LSP tests show 67% saved time in post-editing for the tested domain.,abstract,"As part of a general strategy to strengthen cooperation between the research community and small and medium-sized enterprises, the Danish Council for Strategic Research has decided to co-finance two projects involving machine translation.",Introduction,
"As part of a general strategy to strengthen cooperation between the research community and small and medium-sized enterprises, the Danish Council for Strategic Research has decided to co-finance two projects involving machine translation.",1378151,Domain specific {MT} in use,2008,Introduction,"Finally, the use of weighted sub-domain phrase tables in a SMT system is shown to improve translation quality.",abstract,The aim of both projects has been to explore the possibilities of using statistical machine translation (SMT) approaches in small and medium sized companies (SMEs).,Introduction,
The aim of both projects has been to explore the possibilities of using statistical machine translation (SMT) approaches in small and medium sized companies (SMEs).,1378152,Domain specific {MT} in use,2008,Introduction,"As part of a general strategy to strengthen cooperation between the research community and small and medium-sized enterprises, the Danish Council for Strategic Research has decided to co-finance two projects involving machine translation.",Introduction,"The project goals were to find out not only whether it would possible for translation companies to integrate SMT systems in their daily translation flow, but also to assess whether it would be financially beneficial.",Introduction,
"The project goals were to find out not only whether it would possible for translation companies to integrate SMT systems in their daily translation flow, but also to assess whether it would be financially beneficial.",1378153,Domain specific {MT} in use,2008,Introduction,The aim of both projects has been to explore the possibilities of using statistical machine translation (SMT) approaches in small and medium sized companies (SMEs).,Introduction,The primary tasks of the involved translation companies have been to provide bilingual corpora consisting of sentence aligned documents and then subsequently to test and evaluate the translation results as a first step to uncover the commercial potential of using SMT in their translation process. ,Introduction,
The primary tasks of the involved translation companies have been to provide bilingual corpora consisting of sentence aligned documents and then subsequently to test and evaluate the translation results as a first step to uncover the commercial potential of using SMT in their translation process. ,1378154,Domain specific {MT} in use,2008,Introduction,"The project goals were to find out not only whether it would possible for translation companies to integrate SMT systems in their daily translation flow, but also to assess whether it would be financially beneficial.",Introduction,"This paper builds on the results of the second project, mainly carried out in 2007, involving at the research side Copenhagen Business School and the University of Copenhagen and on the business side Inter-Set, a medium-sized language service provider (LSP) with subsidiaries in other countries. ",Introduction,
"This paper builds on the results of the second project, mainly carried out in 2007, involving at the research side Copenhagen Business School and the University of Copenhagen and on the business side Inter-Set, a medium-sized language service provider (LSP) with subsidiaries in other countries. ",1378155,Domain specific {MT} in use,2008,Introduction,The primary tasks of the involved translation companies have been to provide bilingual corpora consisting of sentence aligned documents and then subsequently to test and evaluate the translation results as a first step to uncover the commercial potential of using SMT in their translation process. ,Introduction,The Open Source Moses MT system [1] was used both for training the SMT system and for translation.,Introduction,
The Open Source Moses MT system [1] was used both for training the SMT system and for translation.,1378156,Domain specific {MT} in use,2008,Introduction,"This paper builds on the results of the second project, mainly carried out in 2007, involving at the research side Copenhagen Business School and the University of Copenhagen and on the business side Inter-Set, a medium-sized language service provider (LSP) with subsidiaries in other countries. ",Introduction,"MOSES is currently mainly supported under the EuroMatrix project, funded by the European Commission.",Introduction,
"MOSES is currently mainly supported under the EuroMatrix project, funded by the European Commission.",1378157,Domain specific {MT} in use,2008,Introduction,The Open Source Moses MT system [1] was used both for training the SMT system and for translation.,Introduction,"The language model was 12th EAMT conference, 22-23 September 2008, Hamburg, Germany trained using the language modelling toolkit IRSTLM [2].",Introduction,
"The language model was 12th EAMT conference, 22-23 September 2008, Hamburg, Germany trained using the language modelling toolkit IRSTLM [2].",1378158,Domain specific {MT} in use,2008,Introduction,"MOSES is currently mainly supported under the EuroMatrix project, funded by the European Commission.",Introduction,The language models were trained with order 5.,Introduction,
The language models were trained with order 5.,1378159,Domain specific {MT} in use,2008,Introduction,"The language model was 12th EAMT conference, 22-23 September 2008, Hamburg, Germany trained using the language modelling toolkit IRSTLM [2].",Introduction,The maximum length of phrases in the phrase tables was set to 5.,Introduction,
The maximum length of phrases in the phrase tables was set to 5.,1378160,Domain specific {MT} in use,2008,Introduction,The language models were trained with order 5.,Introduction,The assumption that there would be a productivity gain using SMT was the prime motivation factor for the LSP to investigate the potential of SMT systems.,Domain Issues in SMT,
The assumption that there would be a productivity gain using SMT was the prime motivation factor for the LSP to investigate the potential of SMT systems.,1378161,Domain specific {MT} in use,2008,Domain Issues in SMT,The maximum length of phrases in the phrase tables was set to 5.,Introduction,One of the issues to be considered in this context was the handling of subject domains. ,Domain Issues in SMT,
One of the issues to be considered in this context was the handling of subject domains. ,1378162,Domain specific {MT} in use,2008,Domain Issues in SMT,The assumption that there would be a productivity gain using SMT was the prime motivation factor for the LSP to investigate the potential of SMT systems.,Domain Issues in SMT,"In an ideal world, all users involved with translation of technical documents would apply the same large-scale general subject classification system such as Lenoch [3].",Domain Issues in SMT,
"In an ideal world, all users involved with translation of technical documents would apply the same large-scale general subject classification system such as Lenoch [3].",1378163,Domain specific {MT} in use,2008,Domain Issues in SMT,One of the issues to be considered in this context was the handling of subject domains. ,Domain Issues in SMT,From an SMT point of view the advantages of a consistent use of a classification system would be obvious.,Domain Issues in SMT,
From an SMT point of view the advantages of a consistent use of a classification system would be obvious.,1378164,Domain specific {MT} in use,2008,Domain Issues in SMT,"In an ideal world, all users involved with translation of technical documents would apply the same large-scale general subject classification system such as Lenoch [3].",Domain Issues in SMT,"Not only would it ease the identification of consistent and representative bilingual training data, it would also, via the fine-grained subject classification, increase the probability that the lexical coverage of a given SMTsystem would be tuned for the texts to be translated. ",Domain Issues in SMT,
"Not only would it ease the identification of consistent and representative bilingual training data, it would also, via the fine-grained subject classification, increase the probability that the lexical coverage of a given SMTsystem would be tuned for the texts to be translated. ",1378165,Domain specific {MT} in use,2008,Domain Issues in SMT,From an SMT point of view the advantages of a consistent use of a classification system would be obvious.,Domain Issues in SMT,But unfortunately experiences show that use of a large universal classification system involves too much administrative work [4].,Domain Issues in SMT,
But unfortunately experiences show that use of a large universal classification system involves too much administrative work [4].,1378166,Domain specific {MT} in use,2008,Domain Issues in SMT,"Not only would it ease the identification of consistent and representative bilingual training data, it would also, via the fine-grained subject classification, increase the probability that the lexical coverage of a given SMTsystem would be tuned for the texts to be translated. ",Domain Issues in SMT,"In addition, subject classification systems do not take into account possible divergences in the data within the same subject domain, e.g. different companies may have chosen to use different specific company terminologies. ",Domain Issues in SMT,
"In addition, subject classification systems do not take into account possible divergences in the data within the same subject domain, e.g. different companies may have chosen to use different specific company terminologies. ",1378167,Domain specific {MT} in use,2008,Domain Issues in SMT,But unfortunately experiences show that use of a large universal classification system involves too much administrative work [4].,Domain Issues in SMT,"Besides, texts from the same subject domain will make use of very different writing styles in terms of sentence types and varieties in language usage according to the genre of the text.",Domain Issues in SMT,
